image_id; throttle; steering
1586167107653;-0.669281005859375;0.001983642578125
1586167107668;-0.606292724609375;0.001983642578125
1586167107685;-0.606292724609375;0.001983642578125
1586167107823;-0.999969482421875;0.001983642578125
1586167107837;-0.999969482421875;0.001983642578125
1586167107853;-0.999969482421875;0.001983642578125
1586167107865;-0.999969482421875;0.001983642578125
1586167107879;-0.999969482421875;0.001983642578125
1586167107892;-0.999969482421875;0.001983642578125
1586167107921;-0.999969482421875;0.001983642578125
1586167107949;-0.999969482421875;0.001983642578125
1586167107983;-0.999969482421875;0.001983642578125
1586167108018;-0.999969482421875;0.001983642578125
1586167108049;-0.999969482421875;0.001983642578125
1586167108084;-0.999969482421875;0.001983642578125
1586167108118;-0.999969482421875;0.001983642578125
1586167108149;-0.999969482421875;0.001983642578125
1586167108183;-0.999969482421875;0.001983642578125
1586167108218;-0.999969482421875;0.001983642578125
1586167108252;-0.999969482421875;0.001983642578125
1586167108282;-0.999969482421875;0.001983642578125
1586167108316;-0.960601806640625;0.001983642578125
1586167108349;-0.873992919921875;0.001983642578125
1586167108382;-0.866119384765625;0.001983642578125
1586167108418;-0.811004638671875;0.002777099609375
1586167108449;-0.677154541015625;0.00616455078125
1586167108482;-0.551177978515625;0.01104736328125
1586167108515;-0.41729736328125;0.015899658203125
1586167108549;-0.33856201171875;0.017730712890625
1586167108585;-0.35430908203125;0.017730712890625
1586167108615;-0.35430908203125;0.016448974609375
1586167108649;-0.35430908203125;0.015289306640625
1586167108682;-0.35430908203125;0.013885498046875
1586167108715;-0.346435546875;0.012176513671875
1586167108750;-0.32281494140625;0.00946044921875
1586167108782;-0.29132080078125;0.00592041015625
1586167108815;-0.25982666015625;0.000457763671875
1586167108849;-0.2362060546875;-0.0040283203125
1586167108882;-0.21258544921875;-0.0078125
1586167108919;-0.18109130859375;-0.0115966796875
1586167108949;-0.1732177734375;-0.013336181640625
1586167108982;-0.1732177734375;-0.013702392578125
1586167109015;-0.18109130859375;-0.013702392578125
1586167109049;-0.18896484375;-0.013702392578125
1586167109083;-0.18896484375;-0.013702392578125
1586167109114;-0.18896484375;-0.013702392578125
1586167109153;-0.19683837890625;-0.013702392578125
1586167109181;-0.19683837890625;-0.013702392578125
1586167109215;-0.18109130859375;-0.013702392578125
1586167109253;-0.18109130859375;-0.00689697265625
1586167109282;-0.18109130859375;-0.003265380859375
1586167109315;-0.18109130859375;-0.002716064453125
1586167109350;-0.18109130859375;-0.002716064453125
1586167109382;-0.18109130859375;-0.001434326171875
1586167109417;-0.18109130859375;-0.000335693359375
1586167109450;-0.18109130859375;3.0517578125e-05
1586167109483;-0.18896484375;0.000946044921875
1586167109514;-0.19683837890625;0.001556396484375
1586167109551;-0.2047119140625;0.001556396484375
1586167109585;-0.30706787109375;0.001556396484375
1586167109615;-0.44879150390625;0.001556396484375
1586167109652;-0.858245849609375;0.001556396484375
1586167109683;-0.999969482421875;0.001556396484375
